# leave-one-organism-out folds for the cross-genome unseen test (P5, P8)
# E. coli K-12 + BL21 must be co-held-out (near-identical core genes → leakage)
loo_group	held_out_organisms	phyla	n_clusters
bsubtilis_168	bsubtilis_168	Firmicutes	4263
ccrescentus_NA1000	ccrescentus_NA1000	Alphaproteobacteria	3724
ecoli_group	ecoli_BL21_DE3;ecoli_K12_MG1655	Gammaproteobacteria	2965
hvolcanii_DS2	hvolcanii_DS2	Archaea	1485
mtuberculosis_H37Rv	mtuberculosis_H37Rv	Actinobacteria	3387
saureus_HG001	saureus_HG001	Firmicutes	1871
